,0,1,2,3,4,5,6,7,8,9,10
corner,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
cuaca,0.0,0.0032295948326482677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cukup,0.0,0.0,0.0,0.0,0.0028601144045761833,0.0,0.0,0.0,0.0,0.0,0.0
cuma,0.0,0.0,0.005229083665338645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cybernews,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
cynic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
dablek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026467757459095287,0.0
daendels,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
daerah,0.0,0.0,0.007719123505976096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daerahnya,0.003102086858432036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dago,0.003102086858432036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dahulu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
dakar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
darma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00505293551491819,0.0
date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
daun,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
de,0.0,0.0,0.0,0.0,0.0,0.0045691906005221935,0.0,0.0,0.0,0.0,0.0
deco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
deh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
deket,0.01156232374506486,0.0,0.007719123505976096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dekil,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demak,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dendang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
depan,0.0,0.012037580739870815,0.0,0.0,0.008060322412896516,0.0,0.008995937318630296,0.0,0.0,0.0026467757459095287,0.0
depannya,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
desa,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
designs,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
dewa,0.0,0.0,0.0,0.0,0.0,0.0,0.006094022054556007,0.0,0.0,0.0,0.0
dialihkan,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dianggap,0.0,0.0,0.0,0.003357753357753358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diarak,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dibangun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02007918552036199,0.0,0.0,0.0
dibuat,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
dibuatkan,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
didekatnya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
didirikan,0.0,0.0,0.0,0.0,0.0,0.0045691906005221935,0.0,0.0,0.0,0.0,0.0
didisain,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
diem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
digital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
digunakan,0.0,0.0,0.0,0.0,0.0,0.0045691906005221935,0.006094022054556007,0.0,0.0,0.0,0.0
dihujat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026467757459095287,0.0
dijadiin,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
dijadikan,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
dijawab,0.0,0.0,0.0,0.0,0.0028601144045761833,0.0,0.0,0.0,0.0,0.0,0.0
dijual,0.0,0.006165590135055784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dikarenakan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
dikasih,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
dikelola,0.0,0.0,0.0,0.0,0.0,0.0045691906005221935,0.0,0.0,0.0,0.0,0.0
dikenal,0.003102086858432036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
dikit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006147540983606557
dilakukan,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
